"expName","subjectId","subjectGender","subjectAge","session","block","trial","targetOri","targetPos","distrMean","dtype","dsd","targetDist","t_dist_to_prev_d","rt","correct","prev_correct"
"distr_stats",1,"F",26,1,36,"0",92,5,171,"norm",5,-79,61,670.67603648,1,1
"distr_stats",1,"F",26,1,36,"1",92,23,171,"norm",5,-79,61,499.123701444,1,1
"distr_stats",1,"F",26,1,36,"2",92,31,171,"norm",5,-79,61,623.943640505,1,1
"distr_stats",1,"F",26,1,36,"3",92,24,171,"norm",5,-79,61,608.472233379,1,1
"distr_stats",1,"F",26,1,36,"4",92,25,171,"norm",5,-79,61,623.910171929,1,1
"distr_stats",1,"F",26,1,36,"5",92,26,171,"norm",5,-79,61,764.4353519,1,1
"distr_stats",1,"F",26,1,37,"0",56,23,171,"norm",10,65,65,545.6865233,1,1
"distr_stats",1,"F",26,1,37,"1",56,18,171,"norm",10,65,65,608.058561778,1,1
"distr_stats",1,"F",26,1,37,"2",56,20,171,"norm",10,65,65,654.819517604,1,1
"distr_stats",1,"F",26,1,37,"3",56,19,171,"norm",10,65,65,623.762910193,1,1
"distr_stats",1,"F",26,1,37,"4",56,10,171,"norm",10,65,65,670.782243428,1,1
"distr_stats",1,"F",26,1,38,"0",20,7,131,"norm",5,69,29,608.133531388,1,1
"distr_stats",1,"F",26,1,38,"1",20,10,131,"norm",5,69,29,592.70674903,1,1
"distr_stats",1,"F",26,1,38,"2",20,0,131,"norm",5,69,29,576.954652112,1,1
"distr_stats",1,"F",26,1,38,"3",20,27,131,"norm",5,69,29,545.695894502,1,1
"distr_stats",1,"F",26,1,38,"4",20,26,131,"norm",5,69,29,623.691064317,1,1
"distr_stats",1,"F",26,1,38,"5",20,26,131,"norm",5,69,29,608.254018262,1,1
"distr_stats",1,"F",26,1,39,"0",160,16,51,"norm",15,-71,29,1592.75896001,1,1
"distr_stats",1,"F",26,1,39,"1",160,30,51,"norm",15,-71,29,670.704150084,1,1
"distr_stats",1,"F",26,1,39,"2",160,12,51,"norm",15,-71,29,592.248006414,1,1
"distr_stats",1,"F",26,1,39,"3",160,17,51,"norm",15,-71,29,562.036592112,1,1
"distr_stats",1,"F",26,1,39,"4",160,11,51,"norm",15,-71,29,670.551979624,1,1
"distr_stats",1,"F",26,1,39,"5",160,21,51,"norm",15,-71,29,1608.18841985,1,1
"distr_stats",1,"F",26,1,40,"0",112,21,31,"norm",10,81,61,593.164152904,1,1
"distr_stats",1,"F",26,1,40,"1",112,17,31,"norm",10,81,61,576.966254552,1,1
"distr_stats",1,"F",26,1,40,"2",112,10,31,"norm",10,81,61,639.316873141,1,1
"distr_stats",1,"F",26,1,40,"3",112,5,31,"norm",10,81,61,874.093579726,1,1
"distr_stats",1,"F",26,1,40,"4",112,4,31,"norm",10,81,61,576.887268713,1,1
"distr_stats",1,"F",26,1,40,"5",112,10,31,"norm",10,81,61,920.435508979,1,1
"distr_stats",1,"F",26,1,40,"6",112,7,31,"norm",10,81,61,558.844582444,1,1
"distr_stats",1,"F",26,1,41,"0",153,25,91,"norm",15,62,-58,1826.90377988,0,1
"distr_stats",1,"F",26,1,41,"1",153,3,91,"norm",15,62,-58,1701.93256285,0,0
"distr_stats",1,"F",26,1,41,"2",153,8,91,"norm",15,62,-58,655.48442665,0,0
"distr_stats",1,"F",26,1,41,"3",153,32,91,"norm",15,62,-58,3639.31821188,1,0
"distr_stats",1,"F",26,1,41,"4",153,6,91,"norm",15,62,-58,1108.27766939,1,1
"distr_stats",1,"F",26,1,42,"0",16,15,91,"norm",10,-75,-75,764.078800002,1,1
"distr_stats",1,"F",26,1,42,"1",16,33,91,"norm",10,-75,-75,670.344028205,1,1
"distr_stats",1,"F",26,1,42,"2",16,12,91,"norm",10,-75,-75,1030.01162723,1,1
"distr_stats",1,"F",26,1,42,"3",16,31,91,"norm",10,-75,-75,811.654604096,1,1
"distr_stats",1,"F",26,1,42,"4",16,17,91,"norm",10,-75,-75,701.895078047,1,1
"distr_stats",1,"F",26,1,42,"5",16,35,91,"norm",10,-75,-75,998.510110882,1,1
"distr_stats",1,"F",26,1,43,"0",25,33,91,"norm",15,-66,-66,1139.4503012,1,1
"distr_stats",1,"F",26,1,43,"1",25,17,91,"norm",15,-66,-66,874.165425603,1,1
"distr_stats",1,"F",26,1,43,"2",25,25,91,"norm",15,-66,-66,717.932773481,1,1
